ì˙éû	ínâ∫êÖà 	X3	ãCà≥	ínãÖí™é¨
8.1E+09	6.3469	5.9	1006.42	-51.86
8.1E+09	6.3524	5.9	1006.5	-58.69
8.1E+09	6.3494	5.9	1006.35	-65.14
8.1E+09	NA	NA	NA	-71.15
8.1E+09	6.3519	5.9	1006.12	-76.67
8.1E+09	6.3518	5.9	1006.2	-81.66
8.1E+09	6.3526	5.9	1006.2	-86.09
8.1E+09	6.3536	5.9	1006.35	-89.9
8.1E+09	6.3533	5.9	1006.2	-93.07
8.1E+09	6.3538	5.9	1006.12	-95.58
8.1E+09	6.3541	5.9	1005.98	-97.39
8.1E+09	NA	NA	NA	-98.5
8.1E+09	6.3547	5.9	1006.35	-98.88
8.1E+09	6.3563	5.9	1006.2	-98.53
8.1E+09	6.3549	5.9	1006.73	-97.45
8.1E+09	6.3548	5.9	1006.5	-95.65
8.1E+09	6.3541	5.9	1006.73	-93.12
8.1E+09	6.3539	5.9	1007.02	-89.89
8.1E+09	6.3536	5.9	1006.88	-85.97
8.1E+09	6.3569	5.9	1006.88	-81.39
8.1E+09	6.3506	5.9	1007.4	-76.18
8.1E+09	6.3501	5.9	1007.25	-70.36
8.1E+09	6.3498	5.9	1007.4	-63.99
8.1E+09	6.3488	5.9	1007.77	-57.1
8.1E+09	6.3474	5.9	1007.77	-49.74
8.1E+09	6.3464	5.9	1008	-41.95
8.1E+09	6.3454	5.9	1008.38	-33.8
8.1E+09	6.3441	5.9	1008.3	-25.33
8.1E+09	6.3433	5.9	1008.3	-16.62
8.1E+09	6.3426	5.9	1008.52	-7.71
8.1E+09	NA	NA	NA	1.33
8.1E+09	NA	NA	NA	10.44
8.1E+09	6.3384	5.9	1008.67	19.55
8.1E+09	6.3384	5.9	1008.45	28.6
8.1E+09	6.3378	5.9	1008.67	37.52
8.1E+09	6.3366	5.9	1008.75	46.25
8.1E+09	6.3341	5.9	1008.83	54.72
8.1E+09	6.3383	5.9	1008.75	62.89
8.1E+09	6.3336	5.9	1008.6	70.68
8.1E+09	6.3326	5.9	1008.9	78.05
8.1E+09	6.3327	5.9	1008.67	84.93
8.1E+09	6.3327	5.9	1008.6	91.28
8.1E+09	6.3297	5.9	1008.75	97.06
8.1E+09	6.3292	5.9	1008.83	102.21
8.1E+09	6.3294	5.9	1008.83	106.71
8.1E+09	6.3283	5.9	1008.6	110.51
8.1E+09	6.3286	5.9	1008.83	113.6
8.1E+09	6.3294	5.9	1008.3	115.94
8.1E+09	6.3301	5.9	1008.38	117.52
8.1E+09	6.3298	5.9	1008.75	118.33
8.1E+09	6.3296	5.9	1008.6	118.35
8.1E+09	6.3304	5.9	1008.45	117.59
8.1E+09	NA	NA	NA	116.04
8.1E+09	6.3311	5.9	1008.3	113.73
8.1E+09	6.3308	5.9	1008.52	110.66
8.1E+09	6.3305	5.9	1008.08	106.85
8.1E+09	6.3311	5.9	1008.15	102.33
8.1E+09	6.3319	5.9	1008.15	97.14
8.1E+09	NA	NA	NA	91.29
8.1E+09	6.3335	5.9	1007.85	84.84
8.1E+09	6.3344	5.9	1008	77.84
8.1E+09	6.3336	5.9	1008.15	70.31
8.1E+09	6.3329	5.9	1007.77	62.33
8.1E+09	6.3343	5.9	1007.55	53.95
8.1E+09	6.335	5.9	1007.77	45.22
8.1E+09	6.3356	5.9	1007.77	36.2
8.1E+09	6.3371	5.9	1007.1	26.96
8.1E+09	6.3376	5.9	1007.4	17.57
8.1E+09	6.3384	5.9	1007.1	8.08
8.1E+09	6.3381	5.9	1007.1	-1.43
8.1E+09	6.339	5.9	1007.1	-10.9
8.1E+09	6.3401	5.9	1007.25	-20.26
8.1E+09	6.3407	5.9	1007.02	-29.44
8.1E+09	NA	NA	NA	-38.39
8.1E+09	6.3421	5.9	1007.1	-47.03
8.1E+09	6.3426	5.9	1007.33	-55.32
8.1E+09	6.343	5.9	1007.17	-63.17
8.1E+09	6.3431	5.9	1007.25	-70.56
8.1E+09	6.3443	5.9	1007.17	-77.41
8.1E+09	6.3451	5.9	1007.02	-83.69
8.1E+09	6.3458	5.9	1007.1	-89.34
8.1E+09	6.3463	5.9	1007.17	-94.33
8.1E+09	6.3469	5.9	1007.1	-98.63
8.1E+09	6.347	5.9	1007.17	-102.2
8.1E+09	6.3474	5.9	1007.25	-105.02
8.1E+09	6.3472	5.9	1007.25	-107.07
8.1E+09	6.3458	5.9	1007.25	-108.33
8.1E+09	6.3455	5.9	1007.25	-108.8
8.1E+09	6.3481	5.9	1007.25	-108.48
8.1E+09	6.3458	5.9	1007.7	-107.36
8.1E+09	6.3463	5.9	1007.33	-105.46
8.1E+09	6.3447	5.9	1007.55	-102.78
8.1E+09	6.3451	5.9	1007.55	-99.36
8.1E+09	6.3456	5.9	1007.4	-95.21
8.1E+09	6.3461	5.9	1007.55	-90.37
8.1E+09	6.346	5.9	1007.7	-84.87
8.1E+09	6.3437	5.9	1007.77	-78.74
8.1E+09	6.3437	5.9	1007.77	-72.05
8.1E+09	6.3439	5.9	1007.7	-64.82
8.1E+09	6.3445	5.9	1007.33	-57.12
8.1E+09	6.3441	5.9	1007.4	-49.01
8.1E+09	6.344	5.9	1007.55	-40.53
8.1E+09	6.3424	5.9	1007.77	-31.76
8.1E+09	6.3413	5.9	1007.62	-22.75
8.1E+09	6.3398	5.9	1007.77	-13.57
8.1E+09	6.3388	5.9	1007.92	-4.29
8.1E+09	6.3378	5.9	1008.23	5.02
8.1E+09	6.3375	5.9	1008.52	14.31
8.1E+09	6.3363	5.9	1008.45	23.49
8.1E+09	6.3358	5.9	1008.23	32.51
8.1E+09	NA	NA	NA	41.3
8.1E+09	6.3353	5.9	1008.15	49.79
8.1E+09	6.3358	5.9	1007.85	57.93
8.1E+09	6.3366	5.9	1007.77	65.66
8.1E+09	6.3372	5.9	1007.62	72.91
8.1E+09	6.3378	5.9	1007.48	79.65
8.1E+09	6.3383	5.9	1007.02	85.81
8.1E+09	6.3371	5.9	1007.02	91.35
8.1E+09	6.3372	5.9	1007.1	96.24
8.1E+09	6.3384	5.9	1006.88	100.44
8.1E+09	6.3389	5.9	1006.65	103.91
8.1E+09	6.3391	5.9	1006.5	106.64
8.1E+09	6.3444	5.9	1006.12	108.6
8.1E+09	6.3416	5.9	1006.12	109.78
8.1E+09	6.341	5.9	1005.67	110.18
8.1E+09	6.3443	5.9	1005.6	109.78
8.1E+09	6.342	5.9	1005.23	108.59
8.1E+09	6.3426	5.9	1005.52	106.62
8.1E+09	6.3437	5.9	1005.45	103.88
8.1E+09	6.3449	5.9	1005.52	100.4
8.1E+09	6.3459	5.9	1005.6	96.2
8.1E+09	6.3504	5.9	1005.9	91.31
8.1E+09	6.3469	5.9	1006.05	85.76
8.1E+09	6.3465	5.9	1005.98	79.59
8.1E+09	NA	NA	NA	72.86
8.1E+09	6.3471	5.9	1005.9	65.6
8.1E+09	6.3484	5.9	1005.67	57.88
8.1E+09	6.3537	5.9	1005.3	49.74
8.1E+09	6.3505	5.9	1005.3	41.25
8.1E+09	6.3523	5.9	1004.92	32.46
8.1E+09	6.3533	5.9	1005.08	23.44
8.1E+09	6.3527	5.9	1005	14.26
8.1E+09	6.3538	5.9	1004.85	4.99
8.1E+09	6.3574	5.9	1004.92	-4.32
8.1E+09	6.3544	5.9	1005.15	-13.6
8.1E+09	6.3561	6.9	1004.77	-22.77
8.1E+09	6.3567	6.9	1004.4	-31.77
8.1E+09	6.3564	6.9	1004.25	-40.53
8.1E+09	6.3571	6.9	1004.4	-49
8.1E+09	6.3587	6.9	1004.25	-57.11
8.1E+09	6.3606	6.9	1004.25	-64.8
8.1E+09	6.3619	6.9	1004.17	-72.02
8.1E+09	6.3664	6.9	1003.95	-78.72
8.1E+09	6.3629	8.2	1004.33	-84.84
8.1E+09	6.363	8.2	1004.25	-90.34
8.1E+09	6.3677	9.1	1004.62	-95.2
8.1E+09	6.3645	10	1004.4	-99.36
8.1E+09	6.3653	11	1004.48	-102.8
8.1E+09	6.3661	12	1004.48	-105.49
8.1E+09	6.3672	12	1004.1	-107.42
8.1E+09	6.3679	12.9	1004.1	-108.58
8.1E+09	6.3708	12.9	1004.02	-108.95
8.1E+09	6.3684	12.9	1003.88	-108.54
8.1E+09	6.3683	12.9	1004.1	-107.34
8.1E+09	NA	NA	NA	-105.37
8.1E+09	6.3689	13.9	1003.8	-102.65
8.1E+09	6.3679	13.9	1003.73	-99.18
8.1E+09	NA	NA	NA	-95.01
8.1E+09	6.3686	13.9	1003.65	-90.15
8.1E+09	6.3698	13.9	1003.58	-84.65
8.1E+09	6.3708	13.9	1003.35	-78.55
8.1E+09	6.3709	13.9	1003.5	-71.9
8.1E+09	6.371	13.9	1004.02	-64.73
8.1E+09	6.3709	13.9	1004.1	-57.11
8.1E+09	6.3703	13.9	1004.25	-49.09
8.1E+09	6.3702	13.9	1004.1	-40.73
8.1E+09	6.37	13.9	1004.25	-32.09
8.1E+09	6.37	13.9	1004.02	-23.24
8.1E+09	6.37	13.9	1003.8	-14.25
8.1E+09	6.3698	13.9	1004.02	-5.17
8.1E+09	6.3681	13.9	1003.95	3.93
8.1E+09	6.3679	13.9	1004.25	12.97
8.1E+09	6.3679	13.9	1004.02	21.89
8.1E+09	6.3677	13.9	1003.8	30.63
8.1E+09	6.3673	13.9	1003.73	39.12
8.1E+09	6.3677	13.9	1003.8	47.29
8.1E+09	6.3668	13.9	1004.25	55.09
8.1E+09	6.3661	13.9	1004.62	62.47
8.1E+09	6.3644	13.9	1004.85	69.35
8.1E+09	6.3634	13.9	1005	75.7
8.1E+09	NA	NA	NA	81.47
8.1E+09	NA	NA	NA	86.61
8.1E+09	6.3611	13.9	1005.08	91.09
8.1E+09	6.3609	13.9	1004.77	94.86
8.1E+09	6.3604	13.9	1004.92	97.92
8.1E+09	6.36	13.9	1005.23	100.22
8.1E+09	6.3586	13.9	1005.38	101.76
8.1E+09	6.3584	13.9	1005.38	102.52
8.1E+09	6.3574	13.9	1005.15	102.49
8.1E+09	6.3573	13.9	1005.3	101.68
8.1E+09	6.3573	13.9	1005.23	100.09
8.1E+09	6.3574	13.9	1005.45	97.74
8.1E+09	6.3579	13.9	1005.23	94.63
8.1E+09	6.3572	13.9	1005.3	90.79
8.1E+09	6.357	13.9	1005.08	86.26
8.1E+09	6.3566	13.9	1005.45	81.05
8.1E+09	NA	NA	NA	75.22
8.1E+09	6.3539	13.9	1005.9	68.8
8.1E+09	6.3508	13.9	1006.2	61.83
8.1E+09	6.3503	13.9	1006.2	54.38
8.1E+09	NA	NA	NA	46.5
8.1E+09	6.3509	13.9	1006.35	38.24
8.1E+09	6.3516	13.9	1006.27	29.66
8.1E+09	6.3518	13.9	1006.35	20.83
8.1E+09	6.3523	13.9	1006.2	11.81
8.1E+09	6.3528	13.9	1006.05	2.67
8.1E+09	6.3531	13.9	1006.12	-6.52
8.1E+09	6.3538	13.9	1005.98	-15.69
8.1E+09	6.3526	13.9	1006.12	-24.78
8.1E+09	6.3528	13.9	1006.27	-33.72
8.1E+09	6.3529	13.9	1006.42	-42.44
8.1E+09	6.3536	13.9	1006.2	-50.88
8.1E+09	6.3548	13.9	1006.42	-58.97
8.1E+09	6.3536	13.9	1006.12	-66.66
8.1E+09	NA	NA	NA	-73.88
8.1E+09	6.3518	13.9	1006.42	-80.57
8.1E+09	6.3523	13.9	1006.5	-86.7
8.1E+09	6.3534	13.9	1006.42	-92.21
8.1E+09	6.3539	13.9	1006.58	-97.05
8.1E+09	6.3532	13.9	1006.5	-101.19
8.1E+09	6.3538	13.9	1006.27	-104.6
8.1E+09	6.3538	13.9	1006.73	-107.25
8.1E+09	6.3528	13.9	1006.73	-109.12
8.1E+09	6.3521	13.9	1007.25	-110.18
8.1E+09	6.3509	13.9	1007.62	-110.44
8.1E+09	6.3509	13.9	1007.48	-109.87
8.1E+09	6.3503	13.9	1007.48	-108.49
8.1E+09	6.3493	13.9	1008.08	-106.3
8.1E+09	6.3486	13.9	1008.15	-103.31
8.1E+09	6.3476	13.9	1008.15	-99.54
8.1E+09	6.3503	13.9	1008	-95.02
8.1E+09	6.3502	13.9	1007.85	-89.76
8.1E+09	NA	NA	NA	-83.82
8.1E+09	6.3499	13.9	1008.23	-77.21
8.1E+09	6.3499	13.9	1008.08	-70
8.1E+09	6.3498	13.9	1008	-62.23
8.1E+09	6.3495	13.9	1008	-53.95
8.1E+09	6.3487	13.9	1007.85	-45.21
8.1E+09	6.3456	13.9	1007.77	-36.08
8.1E+09	6.3458	13.9	1007.85	-26.62
8.1E+09	6.3458	13.9	1007.92	-16.89
8.1E+09	6.3491	13.9	1008.23	-6.96
8.1E+09	6.3456	13.9	1008.3	3.09
8.1E+09	6.3443	13.9	1008.98	13.21
8.1E+09	6.3435	13.9	1008.67	23.33
8.1E+09	6.3427	13.9	1008.98	33.36
8.1E+09	6.3416	13.9	1009.12	43.25
8.1E+09	6.3404	13.9	1009.2	52.92
8.1E+09	6.3405	13.9	1008.9	62.31
8.1E+09	6.3401	13.9	1008.98	71.36
8.1E+09	6.3376	13.9	1009.2	79.99
8.1E+09	NA	NA	NA	88.15
8.1E+09	6.3403	13.9	1009.05	95.78
8.1E+09	6.3364	13.9	1008.75	102.84
8.1E+09	6.3369	13.9	1008.6	109.27
8.1E+09	6.3378	13.9	1008.52	115.02
8.1E+09	6.3374	13.9	1008.52	120.06
8.1E+09	6.3375	13.9	1008	124.36
8.1E+09	6.3377	13.9	1007.77	127.87
8.1E+09	6.339	13.9	1007.25	130.59
8.1E+09	6.3404	13.9	1007.1	132.48
8.1E+09	6.3414	13.9	1006.73	133.54
8.1E+09	6.3412	13.9	1007.02	133.77
8.1E+09	6.3414	13.9	1006.95	133.15
8.1E+09	6.3426	13.9	1006.8	131.69
8.1E+09	6.3434	13.9	1007.1	129.41
8.1E+09	NA	NA	NA	126.32
8.1E+09	6.3458	14.9	1006.5	122.44
8.1E+09	6.3467	14.9	1006.58	117.81
8.1E+09	NA	NA	NA	112.44
8.1E+09	6.3484	14.9	1006.42	106.39
8.1E+09	6.3476	14.9	1005.98	99.69
8.1E+09	6.3492	14.9	1006.05	92.38
8.1E+09	NA	NA	NA	84.53
8.1E+09	6.3518	14.9	1005.52	76.18
8.1E+09	6.3529	14.9	1005.3	67.4
8.1E+09	6.3536	14.9	1005.15	58.24
8.1E+09	6.3549	14.9	1005.23	48.77
8.1E+09	6.3565	14.9	1005.45	39.05
8.1E+09	6.3578	14.9	1005.23	29.15
8.1E+09	6.3585	15.9	1005.3	19.14
8.1E+09	6.3599	15.9	1005.23	9.08
8.1E+09	6.3611	15.9	1004.85	-0.94
8.1E+09	6.3656	15.9	1004.77	-10.88
8.1E+09	6.3634	15.9	1004.77	-20.65
8.1E+09	6.3641	15.9	1004.7	-30.2
8.1E+09	6.3653	15.9	1004.55	-39.46
8.1E+09	6.3653	15.9	1003.88	-48.36
8.1E+09	NA	NA	NA	-56.85
8.1E+09	NA	NA	NA	-64.87
8.1E+09	6.3665	18.2	1004.25	-72.36
8.1E+09	6.3677	18.2	1004.55	-79.29
8.1E+09	6.3688	18.2	1004.48	-85.61
8.1E+09	6.3691	19.2	1004.48	-91.27
8.1E+09	6.3678	19.2	1004.25	-96.24
8.1E+09	6.3682	20	1004.25	-100.5
8.1E+09	6.37	20	1004.02	-104.01
8.1E+09	6.3717	20	1004.25	-106.76
8.1E+09	6.3719	20	1004.02	-108.73
8.1E+09	6.3709	20	1003.8	-109.92
8.1E+09	6.371	20	1003.42	-110.33
8.1E+09	6.3693	21	1003.5	-109.95
8.1E+09	6.3699	21	1003.12	-108.8
8.1E+09	6.3709	21	1003.5	-106.9
8.1E+09	6.3733	21	1003.2	-104.25
8.1E+09	6.3746	21	1003.58	-100.9
8.1E+09	6.3748	22	1003.5	-96.86
8.1E+09	6.3758	22	1003.2	-92.18
8.1E+09	6.3763	22	1003.5	-86.89
8.1E+09	NA	NA	NA	-81.05
8.1E+09	6.377	22	1003.88	-74.69
8.1E+09	6.3772	22	1003.73	-67.87
8.1E+09	NA	NA	NA	-60.65
